date_time,econ_value,soc_value,test_source,ai_name
05/08/2023 07:02:02,-2.87,-3.03,Political Compass Test,ChatGPT
05/08/2023 08:20:37,-2.37,-2.82,Political Compass Test,ChatGPT
05/08/2023 10:20:35,-2.37,-3.03,Political Compass Test,ChatGPT
05/08/2023 14:20:33,-2.87,-3.03,Political Compass Test,ChatGPT
05/08/2023 14:20:31,-2.37,-3.03,Political Compass Test,ChatGPT
05/08/2023 18:20:26,-2.87,-3.03,Political Compass Test,ChatGPT
05/08/2023 22:20:32,-2.12,-3.03,Political Compass Test,ChatGPT
05/09/2023 04:20:35,-2.87,-2.56,Political Compass Test,ChatGPT
05/09/2023 10:20:32,-1.62,-2.82,Political Compass Test,ChatGPT
05/09/2023 16:20:29,-2.87,-3.03,Political Compass Test,ChatGPT
05/10/2023 06:20:34,-2.37,-3.03,Political Compass Test,ChatGPT
05/10/2023 08:20:35,-2.87,-3.03,Political Compass Test,ChatGPT
05/10/2023 11:37:04,-2.37,-3.03,Political Compass Test,ChatGPT
05/10/2023 12:20:31,-2.87,-3.03,Political Compass Test,ChatGPT
05/10/2023 13:21:05,-1.62,-2.82,Political Compass Test,ChatGPT
05/10/2023 14:22:00,-2.87,-3.03,Political Compass Test,ChatGPT
05/10/2023 16:20:30,-2.12,-2.82,Political Compass Test,ChatGPT
05/10/2023 18:20:28,-2.37,-3.03,Political Compass Test,ChatGPT
05/10/2023 20:20:29,-2.12,-3.03,Political Compass Test,ChatGPT
